scenario_id,longitudinal_deceleration,safety_distance_m,safety_distance_s
5bc4920704c87d00012789f3,1.0,0.0,0.0
5bc4920704c87d00012789f4,0.0,1.0,1.0
5bc4920704c87d00012789f5,1.0,0.0,0.0
5bc4920704c87d00012789f6,1.0,0.0,0.0
5bc4920704c87d00012789f7,0.0,1.0,1.0
5bc4920704c87d00012789f8,1.0,0.0,0.0
5bc4920704c87d00012789f9,0.0,1.0,1.0
5bc4920704c87d00012789fa,0.0,0.0,0.0
5bc4920704c87d00012789fb,1.0,0.0,1.0
5bc4920704c87d00012789fc,1.0,0.0,0.0
5bc4920704c87d00012789fd,1.0,0.0,0.0
5bc4920704c87d00012789fe,0.0,0.0,0.0
5bc4920704c87d00012789ff,0.0,0.0,1.0
5bc4920704c87d0001278a00,1.0,0.0,1.0
5bc4920704c87d0001278a01,0.0,1.0,1.0
5bc4920704c87d0001278a02,1.0,0.0,0.0
5bc4920704c87d0001278a03,0.0,0.0,1.0
5bc4920704c87d0001278a04,1.0,1.0,1.0
5bc4920704c87d0001278a05,1.0,1.0,1.0
5bc4920704c87d0001278a06,1.0,0.0,0.0
5bc4920704c87d0001278a07,0.0,0.0,0.0
5bc4920704c87d0001278a08,1.0,0.0,1.0
5bc4920704c87d0001278a09,1.0,0.0,1.0
5bc4920704c87d0001278a0a,1.0,1.0,1.0
5bc4920704c87d0001278a0b,1.0,1.0,1.0
5bc4920704c87d0001278a0c,1.0,0.0,0.0
5bc4920704c87d0001278a0d,1.0,0.0,0.0
5bc4920704c87d0001278a0e,0.0,1.0,1.0
5bc4920704c87d0001278a0f,1.0,0.0,0.0
5bc4920704c87d0001278a10,0.0,0.0,1.0
5bc4920704c87d0001278a11,1.0,0.0,0.0
5bc4920704c87d0001278a12,1.0,1.0,1.0
5bc4920704c87d0001278a13,0.0,0.0,0.0
5bc4920704c87d0001278a14,0.0,1.0,1.0
5bc4920704c87d0001278a15,1.0,0.0,0.0
5bc4920704c87d0001278a16,0.0,0.0,1.0
5bc4920704c87d0001278a17,1.0,1.0,1.0
5bc4920704c87d0001278a18,0.0,0.0,0.0
5bc4920704c87d0001278a19,1.0,0.0,0.0
5bc4920704c87d0001278a1a,1.0,0.0,1.0
5bc4920704c87d0001278a1b,1.0,1.0,1.0
5bc4920704c87d0001278a1c,0.0,0.0,0.0
5bc4920704c87d0001278a1d,1.0,1.0,1.0
5bc4920704c87d0001278a1e,1.0,0.0,0.0
5bc4920704c87d0001278a1f,0.0,0.0,1.0
5bc4920704c87d0001278a20,1.0,0.0,0.0
5bc4920704c87d0001278a21,1.0,0.0,0.0
5bc4920704c87d0001278a22,0.0,1.0,1.0
5bc4920704c87d0001278a23,1.0,0.0,0.0
5bc4920704c87d0001278a24,0.0,0.0,1.0
5bc4920704c87d0001278a25,1.0,0.0,0.0
5bc4920704c87d0001278a26,1.0,0.0,0.0
5bc4920704c87d0001278a27,0.0,0.0,0.0
5bc4920704c87d0001278a28,0.0,0.0,0.0
5bc4920704c87d0001278a29,0.0,1.0,1.0
5bc4920704c87d0001278a2a,1.0,0.0,1.0
5bc4920704c87d0001278a2b,1.0,0.0,0.0
5bc4920704c87d0001278a2c,1.0,0.0,0.0
5bc4920704c87d0001278a2d,1.0,0.0,0.0
5bc4920704c87d0001278a2e,0.0,1.0,1.0
5bc4920704c87d0001278a2f,1.0,0.0,0.0
5bc4920704c87d0001278a30,1.0,0.0,0.0
5bc4920704c87d0001278a31,1.0,0.0,0.0
5bc4920704c87d0001278a32,1.0,0.0,0.0
5bc4920704c87d0001278a33,0.0,0.0,1.0
5bc4920704c87d0001278a34,1.0,0.0,0.0
5bc4920704c87d0001278a35,1.0,0.0,0.0
5bc4920704c87d0001278a36,1.0,0.0,0.0
5bc4920704c87d0001278a37,1.0,0.0,0.0
5bc4920704c87d0001278a38,1.0,0.0,1.0
5bc4920704c87d0001278a39,1.0,1.0,1.0
5bc4920704c87d0001278a3a,1.0,0.0,0.0
5bc4920704c87d0001278a3b,1.0,0.0,0.0
5bc4920704c87d0001278a3c,1.0,1.0,1.0
5bc4920704c87d0001278a3d,1.0,1.0,1.0
5bc4920704c87d0001278a3e,1.0,1.0,1.0
5bc4920704c87d0001278a3f,1.0,1.0,1.0
5bc4920704c87d0001278a40,0.0,0.0,1.0
5bc4920704c87d0001278a41,1.0,0.0,1.0
5bc4920704c87d0001278a42,1.0,0.0,0.0
5bc4920704c87d0001278a43,1.0,0.0,1.0
5bc4920704c87d0001278a44,0.0,0.0,0.0
5bc4920704c87d0001278a45,1.0,0.0,0.0
5bc4920704c87d0001278a46,1.0,0.0,0.0
5bc4920704c87d0001278a47,1.0,0.0,1.0
5bc4920704c87d0001278a48,1.0,0.0,1.0
